"","year","gender","total"
"1",2000,"-",441
"2",2000,"F",1031
"3",2000,"M",5050
"4",2001,"-",539
"5",2001,"F",1247
"6",2001,"M",5620
"7",2002,"-",481
"8",2002,"F",1354
"9",2002,"M",6111
"10",2003,"-",681
"11",2003,"F",1630
"12",2003,"M",7212
"13",2004,"-",787
"14",2004,"F",1953
"15",2004,"M",8132
"16",2005,"-",1020
"17",2005,"F",2658
"18",2005,"M",10953
"19",2006,"-",1101
"20",2006,"F",2701
"21",2006,"M",10756
"22",2007,"-",1324
"23",2007,"F",3038
"24",2007,"M",12931
"25",2008,"-",1157
"26",2008,"F",3190
"27",2008,"M",12793
"28",2009,"-",1347
"29",2009,"F",3350
"30",2009,"M",13174
"31",2010,"-",1220
"32",2010,"F",3582
"33",2010,"M",13376
"34",2011,"-",1541
"35",2011,"F",4385
"36",2011,"M",15820
"37",2012,"-",1454
"38",2012,"F",4118
"39",2012,"M",14495
"40",2013,"-",1897
"41",2013,"F",5541
"42",2013,"M",18947
"43",2014,"-",1719
"44",2014,"F",5277
"45",2014,"M",17690
"46",2015,"-",2176
"47",2015,"F",6219
"48",2015,"M",21569
"49",2016,"-",2057
"50",2016,"F",6358
"51",2016,"M",19771
